region_code,region,source_region_name,year,infant_mortality_per_1000
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2002,58.6
EAS,East Asia & Pacific,East Asia & Pacific,2002,28.3
LCN,Latin America & Caribbean,Latin America & Caribbean,2002,24.6
ECS,Europe & Central Asia,Europe & Central Asia,2002,15.6
NAC,North America,North America,2002,6.8
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2003,79.4
SAS,South Asia,South Asia,2003,58.6
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2003,57.0
EAS,East Asia & Pacific,East Asia & Pacific,2003,26.3
LCN,Latin America & Caribbean,Latin America & Caribbean,2003,23.5
ECS,Europe & Central Asia,Europe & Central Asia,2003,14.6
NAC,North America,North America,2003,6.8
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2004,76.5
SAS,South Asia,South Asia,2004,56.6
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2004,55.1
EAS,East Asia & Pacific,East Asia & Pacific,2004,25.0
LCN,Latin America & Caribbean,Latin America & Caribbean,2004,22.4
ECS,Europe & Central Asia,Europe & Central Asia,2004,13.8
NAC,North America,North America,2004,6.7
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2005,72.1
SAS,South Asia,South Asia,2005,54.6
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2005,53.4
EAS,East Asia & Pacific,East Asia & Pacific,2005,23.2
LCN,Latin America & Caribbean,Latin America & Caribbean,2005,21.5
ECS,Europe & Central Asia,Europe & Central Asia,2005,13.0
NAC,North America,North America,2005,6.6
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2006,69.1
SAS,South Asia,South Asia,2006,52.6
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2006,52.0
EAS,East Asia & Pacific,East Asia & Pacific,2006,21.7
LCN,Latin America & Caribbean,Latin America & Caribbean,2006,20.6
ECS,Europe & Central Asia,Europe & Central Asia,2006,12.3
NAC,North America,North America,2006,6.6
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2007,66.5
SAS,South Asia,South Asia,2007,50.6
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2007,50.5
EAS,East Asia & Pacific,East Asia & Pacific,2007,20.4
LCN,Latin America & Caribbean,Latin America & Caribbean,2007,19.8
ECS,Europe & Central Asia,Europe & Central Asia,2007,11.6
NAC,North America,North America,2007,6.5
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2008,64.1
SAS,South Asia,South Asia,2008,48.7
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2008,49.1
EAS,East Asia & Pacific,East Asia & Pacific,2008,19.6
LCN,Latin America & Caribbean,Latin America & Caribbean,2008,19.1
ECS,Europe & Central Asia,Europe & Central Asia,2008,11.0
NAC,North America,North America,2008,6.4
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2009,63.0
SAS,South Asia,South Asia,2009,46.7
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2009,47.8
EAS,East Asia & Pacific,East Asia & Pacific,2009,18.1
LCN,Latin America & Caribbean,Latin America & Caribbean,2009,18.5
ECS,Europe & Central Asia,Europe & Central Asia,2009,10.4
NAC,North America,North America,2009,6.2
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2010,60.6
SAS,South Asia,South Asia,2010,44.7
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2010,46.5
EAS,East Asia & Pacific,East Asia & Pacific,2010,17.2
LCN,Latin America & Caribbean,Latin America & Caribbean,2010,18.5
ECS,Europe & Central Asia,Europe & Central Asia,2010,9.9
