year,classification_scenario,state,unit_n,eligible_unit_n,unit_share,population_sum,observed_population_denominator,population_share,world_population_reference,reference_missing_mass,population_lower_share,population_upper_share,population_coverage_rate,population_source_mode,input_panel_sha256,method_contract_sha256
1973,Q0_three_state,autocracy,120,158,0.75949367088607594936708860759493670886075949367089,2143610353.0,3415393512.0,0.62763202701779917183376086474219431028772183250549,3910964219,495570707.0,0.54810277797634844585112273050944013251786796774067,0.67481595642795626405090360659216248380614499301304,0.87328682154839218180021912391727764871172297472763,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1973,Q0_three_state,boundary,7,158,0.044303797468354430379746835443037974683544303797468,67574685.0,3415393512.0,0.019785329205134357004072214797836156339223027721205,3910964219,495570707.0,0.017278267254840359356404533753674824914065520372893,0.14399144570644817755618540983639717620234254564526,0.87328682154839218180021912391727764871172297472763,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1973,Q0_three_state,democracy,31,158,0.19620253164556962025316455696202531645569620253165,1204208474.0,3415393512.0,0.35258264377706647116216692045996953337305513977331,3910964219,495570707.0,0.30790577631720337659269185965416269127978948661407,0.43461895476881119479247273573688504256806651188644,0.87328682154839218180021912391727764871172297472763,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1973,Q1_midpoint_binary,autocracy,123,158,0.77848101265822784810126582278481012658227848101266,2169894286.0,3415393512.0,0.63532775312012128692009999929987569760307022566013,3910964219,495570707.0,0.55482335416375232248065729491144700242526049047446,0.68153653261536014068043817099416935371353751574683,0.87328682154839218180021912391727764871172297472763,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1973,Q1_midpoint_binary,democracy,35,158,0.22151898734177215189873417721518987341772151898734,1245499226.0,3415393512.0,0.36467224687987871307990000070012430239692977433987,3910964219,495570707.0,0.31846346738463985931956182900583064628646248425317,0.44517664583624767751934270508855299757473950952554,0.87328682154839218180021912391727764871172297472763,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1973,Q2_boundary_autocracy,autocracy,127,158,0.80379746835443037974683544303797468354430379746835,2211185038.0,3415393512.0,0.64741735622293352883783307954003046662694486022669,3910964219,495570707.0,0.56538104523118880520752726426311495743193348811356,0.69209422368279662340730814034583730872021051338593,0.87328682154839218180021912391727764871172297472763,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1973,Q2_boundary_autocracy,democracy,31,158,0.19620253164556962025316455696202531645569620253165,1204208474.0,3415393512.0,0.35258264377706647116216692045996953337305513977331,3910964219,495570707.0,0.30790577631720337659269185965416269127978948661407,0.43461895476881119479247273573688504256806651188644,0.87328682154839218180021912391727764871172297472763,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1973,Q3_boundary_democracy,autocracy,120,158,0.75949367088607594936708860759493670886075949367089,2143610353.0,3415393512.0,0.62763202701779917183376086474219431028772183250549,3910964219,495570707.0,0.54810277797634844585112273050944013251786796774067,0.67481595642795626405090360659216248380614499301304,0.87328682154839218180021912391727764871172297472763,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1973,Q3_boundary_democracy,democracy,38,158,0.24050632911392405063291139240506329113924050632911,1271783159.0,3415393512.0,0.37236797298220082816623913525780568971227816749451,3910964219,495570707.0,0.32518404357204373594909639340783751619385500698696,0.45189722202365155414887726949055986748213203225933,0.87328682154839218180021912391727764871172297472763,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q0_three_state,autocracy,120,158,0.75949367088607594936708860759493670886075949367089,2192959509.0,3485702773.0,0.62912980589925932850041084096759273513651360313503,3987186772,501483999.0,0.55000170155058891231694726338743982971861645211136,0.67577559368969535696483294813659659683481714761267,0.87422610786089355535211431525084323288379930449870,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q0_three_state,boundary,7,158,0.044303797468354430379746835443037974683544303797468,68914830.0,3485702773.0,0.019770713250082381593813535403237893915517735969624,3987186772,501483999.0,0.017284073694253317511758639030717570809597378951176,0.14305796583335976215964432377987433792579807445248,0.87422610786089355535211431525084323288379930449870,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q0_three_state,democracy,31,158,0.19620253164556962025316455696202531645569620253165,1223828434.0,3485702773.0,0.35109948085065828990577562362916937094796866089534,3987186772,501483999.0,0.30694033261605132552340841283268583235558547343616,0.43271422475515777017129409758184259947178616893746,0.87422610786089355535211431525084323288379930449870,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q1_midpoint_binary,autocracy,122,158,0.77215189873417721518987341772151898734177215189873,2194211848.0,3485702773.0,0.62948908466786247124461865297428789118388781222684,3987186772,501483999.0,0.55031579243010189240264664481586517462493226790832,0.67608968456920833705053232956502194174113296340962,0.87422610786089355535211431525084323288379930449870,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q1_midpoint_binary,democracy,36,158,0.22784810126582278481012658227848101265822784810127,1291490925.0,3485702773.0,0.37051091533213752875538134702571210881611218777316,3987186772,501483999.0,0.32391031543079166294946767043497805825886703659038,0.44968420756989810759735335518413482537506773209168,0.87422610786089355535211431525084323288379930449870,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q2_boundary_autocracy,autocracy,127,158,0.80379746835443037974683544303797468354430379746835,2261874339.0,3485702773.0,0.64890051914934171009422437637083062905203133910466,3987186772,501483999.0,0.56728577524484222982870590241815740052821383106254,0.69305966738394867447659158716731416764441452656384,0.87422610786089355535211431525084323288379930449870,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q2_boundary_autocracy,democracy,31,158,0.19620253164556962025316455696202531645569620253165,1223828434.0,3485702773.0,0.35109948085065828990577562362916937094796866089534,3987186772,501483999.0,0.30694033261605132552340841283268583235558547343616,0.43271422475515777017129409758184259947178616893746,0.87422610786089355535211431525084323288379930449870,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q3_boundary_democracy,autocracy,120,158,0.75949367088607594936708860759493670886075949367089,2192959509.0,3485702773.0,0.62912980589925932850041084096759273513651360313503,3987186772,501483999.0,0.55000170155058891231694726338743982971861645211136,0.67577559368969535696483294813659659683481714761267,0.87422610786089355535211431525084323288379930449870,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q3_boundary_democracy,democracy,38,158,0.24050632911392405063291139240506329113924050632911,1292743264.0,3485702773.0,0.37087019410074067149958915903240726486348639686497,3987186772,501483999.0,0.32422440631030464303516705186340340316518285238733,0.44999829844941108768305273661256017028138354788864,0.87422610786089355535211431525084323288379930449870,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1975,Q0_three_state,autocracy,120,158,0.75949367088607594936708860759493670886075949367089,2829936074.0,3565106576.0,0.79378723010719890467588646920719713148906435385061,4061959945,496853369.0,0.69669226489627533734826132068124074029981602883580,0.81901089327457659112884235986723891734486318279044,0.87768137162169874621941896081400182295495284604536,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1975,Q0_three_state,boundary,6,158,0.037974683544303797468354430379746835443037974683544,93557084.0,3565106576.0,0.026242436798332617364087462837183917051011604877195,4061959945,496853369.0,0.023032497923856312177396421864519395205409884956411,0.14535112630215756595797746105051757225045703891105,0.87768137162169874621941896081400182295495284604536,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1975,Q0_three_state,democracy,32,158,0.20253164556962025316455696202531645569620253164557,641613418.0,3565106576.0,0.17997033309446847796002606795561895145992404127220,4061959945,496853369.0,0.15795660880156709669376121826824168744972693225314,0.28027523717986835047434225745423986449477408620779,0.87768137162169874621941896081400182295495284604536,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1975,Q1_midpoint_binary,autocracy,122,158,0.77215189873417721518987341772151898734177215189873,2853887539.0,3565106576.0,0.80050553276923971543003880173482925914077918999076,4061959945,496853369.0,0.70258879399166502613063064067215955769352127375545,0.82490742236996627991121167985815773473856842771009,0.87768137162169874621941896081400182295495284604536,vdem_e_wb_pop,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
