entity_code,entity_name,region,income_group,registry_category,public_collective_noun,midpoint_year,pou_period_start,pou_period_end,obesity_value,obesity_low,obesity_high,pou_source_value,pou_censored,pou_lower,pou_upper,population,obesity_available,pou_available,population_available,comparable_primary,geometry_status,missing_reason,source_release_ids
GMB,"Gambia, The",Sub-Saharan Africa,Low income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,7.2702579,6.5371007,8.0132805,9.5,False,9.5,9.5,1983784,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,7.4467704,5.6800958,9.9370584,23.7,False,23.7,23.7,1608076,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,13.62157,10.848639,17.233042,,False,,,1241835,True,False,True,False,exact_code_match,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
GRC,Greece,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,23.815128,22.363856,25.289875,2.5,True,0.0,2.5,11104899,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
GRD,Grenada,Latin America & Caribbean,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,23.168254,20.177674,26.415095,,False,,,112079,True,False,True,False,off_map_no_exact_code,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
GRL,Greenland,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,22.869053,20.851314,25.013247,,False,,,56890,True,False,True,False,exact_code_match,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
GTM,Guatemala,Latin America & Caribbean,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,18.729831,17.509311,20.017691,15.0,False,15.0,15.0,14792126,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
GUM,Guam,East Asia & Pacific,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,,,,,False,,,166543,False,False,True,False,off_map_no_exact_code,obesity_and_pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
GUY,Guyana,Latin America & Caribbean,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,20.664868,18.709654,22.677031,8.9,False,8.9,8.9,746153,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,,,,2.5,True,0.0,2.5,7071600,False,True,True,False,off_map_no_exact_code,obesity_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
HND,Honduras,Latin America & Caribbean,Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,22.108044,18.775526,25.940427,12.9,False,12.9,12.9,8540583,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
HRV,Croatia,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,22.460824,20.943655,24.073397,2.8,False,2.8,2.8,4280622,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
HTI,Haiti,Latin America & Caribbean,Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,7.7587046,6.651102,9.0342812,39.7,False,39.7,39.7,9914904,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
